5m_open_time,5m_open_price,5m_high_price,5m_low_price,5m_close_price,5m_volume,5m_close_time,5m_quote_asset_volume,5m_number_of_trades,5m_taker_buy_base_asset_volume,5m_taker_buy_quote_asset_volume,5m_unused,timestamp_key,id,epoch,position,failed,startAt,startBlock,startHash,lockAt,lockBlock,lockHash,lockPrice,lockRoundId,closeAt,closeBlock,closeHash,closePrice,closeRoundId,totalBets,totalAmount,bullBets,bullAmount,bearBets,bearAmount
1665271500000,276.3,276.3,275.8,276.1,1677.784,1665271799999,463204.0626,526,510.869,141032.5461,0,2022-10-08 23:29:59.999,110544,110544,Bear,False,1665271309,22010980,0xaf77094d667b6f315b52cf68d1aa48f32e7120ffcecab7023b13a852ee0e9d21,1665271618,22011083,0x0013fae6f02018a0965d05c049e0712d36dafd9f4cf12ccd4642d0a6841e7807,276.28,18446744073711477525,1665271927,22011186,0x4a0c92cd113d8d97d43bd73d6b1a033f2e4714a35429365d6210665989afd3ce,276.06988088,18446744073711477539,70,13.421393799991893111,39,7.120866793214335963,31,6.300527006777557148
1665271800000,276.0,276.3,275.9,276.1,899.224,1665272099999,248318.2571,423,455.259,125736.0815,0,2022-10-08 23:34:59.999,110545,110545,Bull,False,1665271618,22011083,0x0013fae6f02018a0965d05c049e0712d36dafd9f4cf12ccd4642d0a6841e7807,1665271927,22011186,0x4a0c92cd113d8d97d43bd73d6b1a033f2e4714a35429365d6210665989afd3ce,276.06988088,18446744073711477539,1665272239,22011290,0xc570d654bc1f2e373deb7fd49a0ad29dbf854de2818902d147e26dd11915b9dd,276.14671189,18446744073711477554,83,12.131205955174452343,50,9.373073388096076235,33,2.758132567078376108
1665272400000,275.9,276.3,275.8,276.2,661.917,1665272699999,182764.2621,392,492.212,135920.4039,0,2022-10-08 23:44:59.999,110546,110546,Bear,False,1665271927,22011186,0x4a0c92cd113d8d97d43bd73d6b1a033f2e4714a35429365d6210665989afd3ce,1665272239,22011290,0xc570d654bc1f2e373deb7fd49a0ad29dbf854de2818902d147e26dd11915b9dd,276.14671189,18446744073711477554,1665272548,22011393,0x17ee2d581007018ae7abd3ded78ef35671285f8e2a9040462649dda231802004,275.97466943,18446744073711477568,62,9.813655653627089616,38,4.064378482160122985,24,5.749277171466966631
1665272700000,276.2,276.3,276.1,276.2,483.421,1665272999999,133536.8748,289,229.895,63513.2454,0,2022-10-08 23:49:59.999,110547,110547,Bull,False,1665272239,22011290,0xc570d654bc1f2e373deb7fd49a0ad29dbf854de2818902d147e26dd11915b9dd,1665272548,22011393,0x17ee2d581007018ae7abd3ded78ef35671285f8e2a9040462649dda231802004,275.97466943,18446744073711477568,1665272857,22011496,0x02ded5c10a740c6046f6143a07f645f6c76bce1ead078cb9ccd50dc3d648836a,276.24127187,18446744073711477583,77,16.181847449157901872,41,10.795553243263173399,36,5.386294205894728473
1665273000000,276.2,276.6,276.1,276.4,884.024,1665273299999,244285.3063,373,216.889,59941.4286,0,2022-10-08 23:54:59.999,110548,110548,Bear,False,1665272548,22011393,0x17ee2d581007018ae7abd3ded78ef35671285f8e2a9040462649dda231802004,1665272857,22011496,0x02ded5c10a740c6046f6143a07f645f6c76bce1ead078cb9ccd50dc3d648836a,276.24127187,18446744073711477583,1665273166,22011599,0xbcfa4201949bb99750875cd63af0cc7be7f762dacc3fb12dab9f4e587db8e42d,276.21,18446744073711477596,71,11.491349073322518892,38,8.039437633851572346,33,3.451911439470946546
1665273300000,276.5,276.5,276.3,276.4,254.801,1665273599999,70422.5641,214,128.661,35563.5087,0,2022-10-08 23:59:59.999,110549,110549,Bull,False,1665272857,22011496,0x02ded5c10a740c6046f6143a07f645f6c76bce1ead078cb9ccd50dc3d648836a,1665273166,22011599,0xbcfa4201949bb99750875cd63af0cc7be7f762dacc3fb12dab9f4e587db8e42d,276.21,18446744073711477596,1665273478,22011703,0xf75e32a602116db3e82b8e209bd8a0c40cc208781f3f0da5dc5e29c9d8c0411e,276.37,18446744073711477610,64,12.279728085447834547,38,9.039641871840100146,26,3.240086213607734401
1665273600000,276.3,276.6,276.0,276.6,772.859,1665273899999,213527.5547,511,441.187,121889.2949,0,2022-10-09 00:04:59.999,110550,110550,Bear,False,1665273166,22011599,0xbcfa4201949bb99750875cd63af0cc7be7f762dacc3fb12dab9f4e587db8e42d,1665273478,22011703,0xf75e32a602116db3e82b8e209bd8a0c40cc208781f3f0da5dc5e29c9d8c0411e,276.37,18446744073711477610,1665273787,22011806,0xa0ff023974da31a0862808c48fb0f2b40b7c24c03d7a81e00f43e5e6c44085cd,276.35938505,18446744073711477623,58,11.814993852113788626,32,5.764153190914633782,26,6.050840661199154844
1665273900000,276.6,276.9,276.5,276.9,433.7,1665274199999,120007.6039,340,353.85,97924.7023,0,2022-10-09 00:09:59.999,110551,110551,Bull,False,1665273478,22011703,0xf75e32a602116db3e82b8e209bd8a0c40cc208781f3f0da5dc5e29c9d8c0411e,1665273787,22011806,0xa0ff023974da31a0862808c48fb0f2b40b7c24c03d7a81e00f43e5e6c44085cd,276.35938505,18446744073711477623,1665274097,22011906,0x173b4afbdc38c191c0337195602598c26f4aba6d6cc1e38804db948b3e679377,276.71207184,18446744073711477639,80,18.538075299375528646,44,12.880316921250397454,36,5.657758378125131192
1665274200000,276.9,277.3,276.8,277.2,1085.629,1665274499999,300799.0968,535,751.489,208257.1743,0,2022-10-09 00:14:59.999,110552,110552,Bull,False,1665273787,22011806,0xa0ff023974da31a0862808c48fb0f2b40b7c24c03d7a81e00f43e5e6c44085cd,1665274097,22011906,0x173b4afbdc38c191c0337195602598c26f4aba6d6cc1e38804db948b3e679377,276.71207184,18446744073711477639,1665274406,22012009,0xbaabc45b7e352af84bdf8f5f0b260cf45efa72e3a88c74b9a2b78d5f4059fcc4,276.97906547,18446744073711477654,62,14.32884645355634157,39,9.562748164264744736,23,4.766098289291596834
1665274500000,277.1,277.2,277.0,277.1,280.295,1665274799999,77679.4291,270,164.37,45557.7807,0,2022-10-09 00:19:59.999,110553,110553,Bull,False,1665274097,22011906,0x173b4afbdc38c191c0337195602598c26f4aba6d6cc1e38804db948b3e679377,1665274406,22012009,0xbaabc45b7e352af84bdf8f5f0b260cf45efa72e3a88c74b9a2b78d5f4059fcc4,276.97906547,18446744073711477654,1665274715,22012112,0x8935521b646478cab644cf3dbe4958af306b67fc2867f34857e03e152a483c86,277.13582956,18446744073711477669,75,20.702660340723365833,48,17.459782129045978707,27,3.242878211677387126
1665274800000,277.1,277.1,276.4,276.4,816.527,1665275099999,225984.359,350,236.446,65425.9548,0,2022-10-09 00:24:59.999,110554,110554,Bear,False,1665274406,22012009,0xbaabc45b7e352af84bdf8f5f0b260cf45efa72e3a88c74b9a2b78d5f4059fcc4,1665274715,22012112,0x8935521b646478cab644cf3dbe4958af306b67fc2867f34857e03e152a483c86,277.13582956,18446744073711477669,1665275024,22012215,0x81c157b5d747db68640698c62073c8006a20b7ac48e2d96d56b7211cb8197f70,276.75,18446744073711477683,62,9.161665943346418057,35,5.317705896291789492,27,3.843960047054628565
1665275100000,276.5,276.5,276.2,276.4,403.86,1665275399999,111610.2974,297,193.752,53548.2256,0,2022-10-09 00:29:59.999,110555,110555,Bear,False,1665274715,22012112,0x8935521b646478cab644cf3dbe4958af306b67fc2867f34857e03e152a483c86,1665275024,22012215,0x81c157b5d747db68640698c62073c8006a20b7ac48e2d96d56b7211cb8197f70,276.75,18446744073711477683,1665275333,22012318,0xf4bedd71ad2182fd3ca5a18ccc9fc053e87051723d87e16204b4a04ac9daa3a9,276.36458185,18446744073711477699,68,11.311397253890604208,37,4.44715322754756118,31,6.864244026343043028
1665275400000,276.4,276.9,276.3,276.8,812.045,1665275699999,224606.6138,369,653.38,180746.239,0,2022-10-09 00:34:59.999,110556,110556,Bull,False,1665275024,22012215,0x81c157b5d747db68640698c62073c8006a20b7ac48e2d96d56b7211cb8197f70,1665275333,22012318,0xf4bedd71ad2182fd3ca5a18ccc9fc053e87051723d87e16204b4a04ac9daa3a9,276.36458185,18446744073711477699,1665275642,22012421,0x09c5f99eeab4b4978eba3f32df2d6d7b30aa9dd05e3cd01c8a43c94e6a789bb9,276.71518633,18446744073711477712,67,10.799020657685236323,40,5.759386437362740694,27,5.039634220322495629
1665275700000,276.9,276.9,276.7,276.9,470.542,1665275999999,130229.8549,421,147.698,40886.0482,0,2022-10-09 00:39:59.999,110557,110557,Bull,False,1665275333,22012318,0xf4bedd71ad2182fd3ca5a18ccc9fc053e87051723d87e16204b4a04ac9daa3a9,1665275642,22012421,0x09c5f99eeab4b4978eba3f32df2d6d7b30aa9dd05e3cd01c8a43c94e6a789bb9,276.71518633,18446744073711477712,1665275951,22012524,0xb05231e33b7604a360f2c63c5a8522317824ca1b083b4fe97eadf484a49d2f66,276.73,18446744073711477725,77,18.921543519635596968,63,14.850381341518712819,14,4.071162178116884149
1665276000000,276.8,277.3,276.8,277.3,815.791,1665276299999,226014.3835,378,695.826,192792.7039,0,2022-10-09 00:44:59.999,110558,110558,Bull,False,1665275642,22012421,0x09c5f99eeab4b4978eba3f32df2d6d7b30aa9dd05e3cd01c8a43c94e6a789bb9,1665275951,22012524,0xb05231e33b7604a360f2c63c5a8522317824ca1b083b4fe97eadf484a49d2f66,276.73,18446744073711477725,1665276260,22012627,0xf064ecbea295dd07f01138de785dab86dc44cebcb51b9a9d6596d1a000fcc5be,277.19217602,18446744073711477740,58,6.118173265535358999,35,3.831841001574457786,23,2.286332263960901213
